country,emit,gdpcap,renewable,popdense,consumption,investment,govspend
Georgia,2.469615623,4014.185944,78.03932429,65.17505861,76.45911301,24.3521438,14.29085015
Germany,9.087290909,41103.25644,29.23177012,234.1529869,52.97004805,20.01982698,19.6917566
Ghana,0.566623028,1774.074771,50.89200244,122.3925595,73.34147744,27.01262567,7.680490894
Greece,6.28506954,18083.87791,28.65578326,83.94788984,68.29686825,10.77003995,20.64952587
Guatemala,1.049628082,3994.636913,60.39066739,145.272667,84.31737415,14.51658077,11.08810853
Guinea,0.222181476,769.2554754,78.75156502,46.52489012,85.20334599,23.96917239,19.50189414
Guinea-Bissau,0.16117826,603.3993815,0,61.77834282,85.28402713,9.445086502,11.32588431
Haiti,0.30666988,1386.854191,7.996146435,388.0820029,96.17419054,14.05230866,8.266975001
Honduras,1.089663658,2302.204411,42.2755159,81.44520511,77.50766064,23.68302964,14.30524677
Hungary,4.407180501,12720.71202,10.58269066,107.8569801,49.05606134,22.16580592,19.70819532
Iceland,6.227045154,52951.68151,99.97872227,3.299900249,49.6837817,19.33302481,23.42735463
India,1.647151914,1605.605445,15.34305035,440.6554549,59.00728108,28.73314413,10.42829071
Indonesia,1.890795841,3331.695115,10.65115563,137.6195165,57.4500179,32.81192658,9.74941377
"Iran, Islamic Rep.",7.633623871,5200.680787,5.104887878,48.19138977,53.42159098,25.3650139,15.56882322
Iraq,3.743646439,4688.318017,3.731754737,81.93958694,55.67905476,26.01721793,18.66609857
Ireland,7.881824817,62012.48493,27.96540802,68.25311366,32.9175796,24.09581551,12.48227983
Israel,7.892507176,35808.43643,1.89020023,387.2504621,54.64367175,18.97733199,22.39726096
Italy,5.563259469,30242.38614,38.67922518,205.3665384,60.76860855,16.93546701,19.11034189
Jamaica,2.452418296,4907.927415,10.26200873,266.945891,81.10626345,21.21467008,13.81600155
Japan,9.276629423,34960.63938,15.98478072,348.8093278,55.77079666,24.97145617,19.61774414
Jordan,2.731322514,4164.108769,0.967708005,104.3768078,79.61074459,20.42429603,17.82326069
Kazakhstan,10.87226272,10510.77189,8.874027877,6.498057562,53.71781414,22.88152096,11.63272615
Kenya,0.359452718,1464.554009,87.51424723,84.12400991,75.51675787,22.09103677,12.72668008
Kiribati,0.540896253,1535.162783,7.272727273,136.9469136,86.27089816,42.75516786,62.88933806
"Korea, Rep.",11.91474367,28732.23108,1.894666312,523.5255477,48.54056078,29.01060204,15.08352973
Kyrgyz Republic,1.724051177,1121.082835,85.18802763,31.05787278,90.54657327,32.58800333,17.7553733
Lao PDR,1.317280722,2140.044323,86.36999958,29.20779896,71.23014627,31.5566516,15.10665451
Latvia,3.701593036,13786.4568,50.17169709,31.77924374,59.59843279,21.86301259,18.3664409
